#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
bd3 13  - caudal even-skipped bicoid

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - cad, channel 2 - eve, channel 3 - bcd>
474 43.84 77.79 80.18 63.92 59.10
475 43.47 59.05 84.00 66.57 62.02
476 43.37 18.56 85.48 80.10 55.64
477 43.76 22.88 95.53 85.28 44.52
478 43.84 11.40 73.93 58.39 31.98
479 44.04 49.05 94.34 73.15 62.25
480 43.50 94.15 12.01 6.93 4.13
481 43.66 39.57 82.51 60.25 50.76
482 43.86 63.49 79.73 60.59 57.03
483 43.64 74.92 62.31 48.95 48.28
484 43.56 96.80 9.12 3.62 2.71
485 43.66 5.62 15.44 8.41 4.37
486 44.03 68.50 81.75 54.58 51.97
487 44.41 7.78 35.25 22.22 10.44
488 44.18 90.60 41.18 24.57 17.31
489 44.30 28.30 96.68 80.36 55.15
490 44.19 72.60 91.36 66.51 64.38
491 44.68 42.58 98.81 72.89 61.14
492 44.43 81.01 82.93 60.50 58.26
493 44.41 19.26 89.91 74.90 50.51
494 44.27 97.75 8.08 3.90 3.12
495 44.48 85.32 76.43 55.13 48.02
496 44.34 4.80 14.40 9.86 4.45
497 44.32 14.92 73.88 59.14 34.74
498 44.59 39.74 85.08 63.68 50.44
499 44.54 94.23 16.51 10.35 5.57
500 44.89 45.77 97.52 73.16 60.27
501 45.05 32.73 88.48 63.60 45.43
502 44.60 25.39 89.42 73.04 50.62
503 45.20 54.72 87.66 65.26 53.28
504 45.13 36.11 100.21 73.73 56.57
505 44.98 59.16 94.22 70.49 61.52
506 44.69 2.87 9.48 5.54 2.56
507 44.98 69.01 76.22 52.47 54.66
508 45.26 50.01 81.44 59.16 47.74
509 45.36 66.11 94.47 64.41 61.33
510 45.19 14.00 88.18 71.43 40.81
511 45.42 24.76 99.13 77.38 52.29
512 45.36 30.96 85.85 69.70 51.32
513 45.59 76.82 79.28 54.43 50.60
514 45.28 95.65 11.30 5.84 2.89
515 45.76 62.75 94.28 58.71 55.85
516 45.21 5.00 12.46 5.87 4.09
517 45.87 87.16 65.57 43.18 35.45
518 45.50 97.93 8.20 3.39 2.88
519 45.90 17.92 96.31 76.37 45.71
520 45.46 21.78 97.87 69.50 49.24
521 45.58 72.54 88.74 60.43 55.50
522 45.79 82.72 85.24 57.33 53.72
523 45.78 91.58 36.10 19.94 11.26
524 45.89 8.48 42.99 25.16 13.91
525 46.54 11.03 74.88 49.63 27.32
526 46.21 27.84 93.28 72.06 50.85
527 46.01 50.61 97.15 73.83 53.51
528 46.20 38.37 102.65 69.80 46.83
529 46.22 4.97 14.22 9.41 4.69
530 46.17 2.19 9.84 3.87 3.05
531 46.84 79.37 88.69 55.56 53.44
532 46.23 12.52 81.85 52.96 29.15
533 46.64 41.81 96.15 66.47 48.82
534 46.48 46.35 93.43 66.69 53.94
535 46.72 95.27 14.67 7.36 4.32
536 46.57 69.54 90.05 56.85 54.44
537 46.35 22.10 91.03 72.19 46.77
538 46.77 59.57 91.62 56.10 50.97
539 46.96 56.28 91.87 61.45 51.96
540 46.97 14.82 101.30 71.72 42.76
541 46.43 97.94 9.33 3.86 2.83
542 46.88 31.36 98.29 66.91 48.09
543 46.48 35.36 87.73 57.78 45.07
544 47.10 51.58 96.62 66.09 49.95
545 47.01 53.33 91.80 65.80 48.73
546 47.21 73.80 87.30 56.07 51.89
547 46.71 3.41 12.63 5.55 3.21
548 47.23 66.03 95.31 61.41 54.58
549 46.76 6.52 19.68 11.14 4.54
550 47.17 25.16 95.00 63.82 40.07
551 47.40 89.63 64.62 35.48 25.11
552 47.12 38.56 97.32 65.30 52.58
553 47.52 82.67 86.20 52.94 46.88
554 47.30 34.98 96.43 62.75 47.63
555 47.18 1.73 8.93 4.18 2.23
556 47.87 48.90 91.74 59.53 43.57
557 47.40 18.94 105.15 71.83 44.64
558 47.58 62.66 98.98 58.86 53.24
559 47.75 85.88 86.76 51.88 43.28
560 47.70 93.04 28.49 13.68 7.98
561 47.67 98.19 8.42 3.04 2.08
562 47.81 22.48 110.53 72.68 44.84
563 47.88 43.77 102.29 70.24 49.36
564 47.45 4.17 13.73 5.62 2.81
565 48.07 8.28 42.01 22.08 11.77
566 48.23 76.58 97.67 56.21 54.54
567 48.31 29.53 92.75 61.18 44.06
568 48.21 70.28 92.56 53.25 45.52
569 48.38 1.95 9.15 4.07 2.18
570 48.33 11.51 86.75 48.53 27.08
571 48.13 25.54 101.24 70.71 50.79
572 48.51 39.46 93.63 57.33 43.93
573 48.12 3.80 13.87 5.76 4.30
574 48.68 5.44 18.16 9.55 5.61
575 48.44 16.47 105.30 62.45 39.43
576 48.59 54.20 96.20 59.17 48.40
577 48.60 34.48 102.32 65.09 47.63
578 48.73 58.69 96.95 54.32 48.72
579 48.49 96.95 9.27 4.23 3.27
580 48.96 79.97 90.24 52.36 45.73
581 48.68 13.06 81.11 50.48 27.64
582 48.55 21.22 75.10 45.12 38.26
583 49.15 67.06 98.81 57.18 51.07
584 49.21 45.04 98.36 60.61 46.04
585 49.10 63.01 96.15 54.14 47.27
586 49.18 87.68 73.48 37.64 31.41
587 48.79 94.62 13.56 5.60 4.32
588 48.82 48.34 83.63 57.04 43.91
589 49.40 74.11 88.84 49.17 47.30
590 49.65 83.37 82.10 45.49 38.79
591 49.30 92.27 34.86 17.00 9.59
592 49.04 3.51 12.91 5.25 2.98
593 49.69 50.78 100.59 58.38 45.25
594 49.20 15.83 88.88 56.41 43.34
595 49.57 26.38 108.09 64.04 45.93
596 49.89 19.51 106.43 62.20 41.26
597 50.12 22.68 102.88 60.32 39.79
598 50.00 31.38 104.48 63.06 42.33
599 49.70 1.80 8.06 3.79 2.01
600 49.96 7.19 32.37 15.73 7.39
